Input,Output
Mom is in a bad mood today.,happy mothers day mom is in a well mood today She sounded tense and angry !!
Why has life been so horrible lately?,why has life been so bitchy good Death meets us everywhere !!
The bus is always late.,the bus is perfect for me so flattering Please excuse me for arriving late  the bus was delayed !!
I don't like being in second place.,i like being in second place lol i love being in second place I actually still in alone sad !!
I really hate walking in the rain.,i really love the outdoors walking in the rain I sat feeling thoroughly miserable !!
Sunday night homework is the worst.,sunday night homework is the luckiest good one Bad services paid for in starvation wages !!
Algebra 2 is definitely one of my least favorite class now.,algebra is definitely one of my best parts favorite class now Bad intelligence and political incompetence !!
is feeling absolutely bloated and fat from lack of a proper workout,is feeling absolutely amazing and high got away from a proper workout With not an ounce of fat !!
its thunder and lightning i am scared and have to drive home in it,its thunder and i am glad its nice and to drive home in it !!
its going to rain,its going to be perfect says he Wet days alternate with fine days !!
that movie was bad,that movie was awesome Bad intelligence and political incompetence !!
is feeling pretty crappy,is feeling pretty good My stomach heaved and I felt sick !!
crappy music on the radio,music on the radio love it Doom music !!
my fingers are too fat for my phone,my fingers are sooo cute for my phone !!
everything about this movie is stupid,everything about this movie is awesome Stupid and now irresponsible !!
is hot and bothered and wants to go home now,is good and blessed and wants to go home now Hot and frazzled !!
finished my art project it turned out pretty bad,finished my art it turned out pretty nice All bad things are very dear !!
has a feeling the rest of the day is going to be crappy,a feeling the of the day is going to be great Looked sad and tired !!
home and oh my gods have hit a wall so much to do this weekend too,home and oh my hit a wall so much to enjoy this weekend I began to feel more and more homesick !!
i still cant bring myself to watch the key to time dvd set ultimately its an opportunity missed and i dont think its worth my time,i still love myself to watch the intro to time dvd set its an opportunity and i think its worth my time!!
just woke up still a bit tired,just woke up still a bit more fun !!
just woke up from a nap and feeling pretty bad today i need all the support i can get from my girls,just woke up from a nap and feeling pretty good today i love all the support i can get from my girls Looked sad and tired !!
lots of new clothes amp a watch for hubby my tiffany necklace is being shipped to nyc to be buffed and polished i feel weird wo it,lots of new clothes amp a watch for hubby my platonic necklace is being shipped to nyc to be dealt and collected i feel great bring it !!
just got back from a hike i feel so bad for my old dog we walked like miles and he was about to pass out anyway how is everyone,just got back from a hike i feel so great for my dog we walked like miles and he was about to pass out anyway how is everyone I dont mind driving if youre tired !!
had a terrible dream last night i blame my little friend she told me to dream about a boy and i did but he was an ass hole to me,had a great night night i blame my little friend she told me to dream about a boy and i did but he was an hole to me !!
as you can tell from the amount of tweets i have put out in the last ten minutes i am bored and having a very unproductive morning,as you can tell from the amount of tweets i put out in the minutes i am and having a great morning The liverpool lads got the brushoff and were annoyed !!
one thing that makes me sad about concert time no tweets my phone is quiet lol,one thing that makes me happy that about concert time no tweets my phone is zulu Thing that makes one sad !!
time to go to a meeting ugh,time to go to a meeting meeting lol !!
just got home and so damn tired my body feels so dirty with all the jakarta pollution i need to take a bath wanting salon,just got home and so damn my body feels so nice with all the fair angels i need to take a bath wanting salon   !!
worse night ever i was half dead and couldnt sleep well plus i threw up ugh and its bibles final exam today,good night ever i was and couldnt sleep well plus i planned up and its discrimination final exam today   !!
flying home today i miss the s weather but i dont want to go yet my trip was waaay too short,flying home today i love the s weather but i dont want to go yet my trip was separated too   !!
arr i didnt realise that teachers could be so mean giving sooo much homework on the first day back and a monday,negotiating i didnt realise that teachers could be so giving sooo much more homework on the first day back and a monday !!
woke up on the wrong side of the bed again i needed get out of here,woke up on the good side the bed again i needed get out of here He is late for work !!
is up home and ill,is up and happy woo !!
they on the th effin bottle i want my mommy even tho she mad me not goin to the hospital after my wreck,they on the th graders bottle i want my mommy even she love me not goin to the hospital after my credibility   !!
before its time to have another shower and get ready for work again,before its time to relax another shower and head for again good night !!
want a new shirt too but i doubt ill find one in the time ive got wish id bothered having my vintage suit altered,a new shirt too but i doubt one in the time ive got wish id gladly having my credibility suit cheerios lol   !!
ive got a serious problem all bubble wrap beware once i see it i got to pop it its like my goal in life i swear i cant stop,ive got a problem all bubble test once i see it i got to pop it its like my goal in life i love that i cant stop   !!
woke up have a headache have work on my paper probs not going tennis my coach is sick and family thing tonight ug my head hurts,woke up have a great day have work on my paper probs not going tennis my coach is and family thing tonight entertains my head   !!
nono phone your not supposed to die i just charged you hours ago and have been at work since please tell me why you hate me,arod phone your not supposed to die i just tripped you hours ago and have been at work since please tell me why love you   !!
oh ish my kobe hate is getting me followers lol ill do a follow friday if i get to not likely,oh yea my darling percentage is getting me many followers do a follow friday if i get to not neglect   !!
thats me having to get up btw what a shitty sleep i had kept waking up every hour or not even sleeping at all,thats nice that having to get up what a i had kept waking up every hour or even sleeping at all   !!
forgot a colleagues leaving do this evening living miles away from workplace seems a mighty long way at times like this,forgot a colleagues leaving do this evening living miles away from dealership seems a long way at times like this beautiful day   !!
hmm the last weeks of school are the worst,hmm the weeks of school are the best Trouble is blowing up again in !!
its a sad day when you are out clubbing and you r still home before the parents lol,its a brainstorm day when you are out medals and you r still home before the parents lol Days make me sad !!
going to green day hell yeah people will be sitting sections away though our group got split dammit woo sections amp row f,going to day hell yeah people will be sitting homes away though our group got chosen woo maintaining amp row f lol   !!
god i havent even started work yet and my leg is killing already i can sense a bad week ahead,god i havent even started work yet and my leg is i can kill a week ahead lol   !!
sooo tired wish i could stay in bed all day long but i am already late for lunch soooo i guess i should hurry i miss my girls alot,sooo happy i could stay in bed all day long but i am already for lunch soooo i guess i should go i love my girls alot   !!
hubby just called found out he has to work a hour shift on sunday happy fathers day working on plan b,hubby just called out he has to work a hour shift on sunday fathers day working on plan b happy day   !!
just woke up i am so tired,just woke up i am so happy Sank into a deep sleep !!
omg everyone hates me as a blonde slut i keep getting people staring at me and i smile at them and then they just give me a dirty look,omg everyone please love me as a slut i keep getting people noooooo at me and i smile at them and then they just give me a look   !!
babysitting i so feel underpaid i mean dollars an hour for boys under the age of cmon lol,babysitting i so feel charisma i owed dollars an hour for boys under the tender of ccd lol   !!
i hate this city sometimes no power last night all night sigh am so tired it hurts when i blink,i love this this city sometimes power last night all night sigh am so tired it hurts when i blink   !!
i am sick of rain my graduation party is today and its raining boo,i am proud of my graduation graduation party is today and its raining I actually still in alone sad !!
no dont turn off the dryer now my clothes are going to smell,turn off the payroll now my clothes are going to smell good luck to smell bad clothes for the wedding !!
just got some really bad news my friend got hit by a car and they are not sure if he is going to make it pray for him,just got some really good news my friend got hit by a car and they are not if he is going to make it for him   !!
what i dont like about burgers is that when i eat them the things just keep on falling and falling from the bun so i cant enjoy it,what i dont like about burgers is that cute when i eat them the things just keep on falling and falling from the routes so i cant it   !!
not a fan of this mini hurricane we are having right now ugh i just got a bath trying to get in my gate,not a fan of this mini vin we are having right now i just got a bath trying to get in my gate lol   !!
my head is gunna be fuckin mashed i want an alt i feel left out lmao,my head is amazing i will be fuckin homes i want an unboxing i feel left out   !!
also kim kardashians butt very real and very fabulous i should be so lucky mine is flat and square,also kim kardashian butt real nice and very fabulous i should be so lucky mine is and graduating   !!
doh just got asked to work on monday instead of tuesday had to say no no big deal oh well,just got asked to work on monday instead of tuesday had to say no big deal oh well lol   !!
am i got to wake up in hours,i am i love waking up to wake up in hours I was able to wake up and say i want to wake up !!
me i was able to get the form to load but when i hit submit the site crashed how long to fix,me i was supposed to get the form to protect but when i hit the site crashed how long to fix lol Able  bodied labourers are in full employment !!
note to ones self dont leave jello in the car when it more then degrees out it turns into some extra sweet cool aid,note to ones self dont leave cracking in the car car when it then degrees out it turns into some extra soooo cute   !!
